"year","week","zone","spp","pools_G","pools_L","n_pools","pos_pools_G","pos_pools_L","n_pos_pools","mosq","mosq_L","trap_L_func","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"2024","28","NW","Pipiens",3,9,12,0,0,0,148,79,9,8.78,0,0,0.0199,0,0,0.1747
"2024","28","NW","Tarsalis",0,8,8,0,0,0,88,88,9,9.78,0,0,0.0279,0,0,0.2729
"2024","28","NE","Pipiens",4,6,10,0,0,0,113,60,10,6,0,0,0.0255,0,0,0.153
"2024","28","NE","Tarsalis",0,10,10,0,0,0,145,145,10,14.5,0,0,0.0207,0,0,0.3001
"2024","28","SE","Pipiens",4,11,15,0,0,0,188,82,15,5.47,0,0,0.0164,0,0,0.0897
"2024","28","SE","Tarsalis",1,15,16,0,0,0,306,305,15,20.33,0,0,0.0103,0,0,0.2094
"2024","28","SW","Pipiens",1,6,7,0,0,0,49,26,8,3.25,0,0,0.0507,0,0,0.1648
"2024","28","SW","Tarsalis",0,8,8,0,0,0,74,74,8,9.25,0,0,0.0379,0,0,0.3506
"2024","28","FC","Pipiens",12,32,44,0,0,0,498,247,42,5.88,0,0,0.0071,0,0,0.0417
"2024","28","FC","Tarsalis",1,41,42,0,0,0,613,612,42,14.57,0,0,0.0057,0,0,0.083
"2024","28","LV","Pipiens",0,4,4,0,0,0,23,23,6,3.83,0,0,0.0987,0,0,0.378
"2024","28","LV","Tarsalis",0,9,9,0,0,0,283,283,6,47.17,0,0,0.0107,0,0,0.5047
"2024","28","BE","Pipiens",0,6,6,0,1,1,49,49,9,5.44,0.0179,0.0012,0.0817,0.0974,0.0065,0.4444
"2024","28","BE","Tarsalis",0,19,19,0,0,0,532,532,9,59.11,0,0,0.0063,0,0,0.3724
"2024","28","BC","Tarsalis",0,5,5,0,0,0,225,225,5,45,0,0,0.0125,0,0,0.5625
