"zone","week","spp","type","abund","pir","vi","type2"
"NW","23","Pipiens","hx",0.776666666666667,0,0,"hx_Pipiens"
"NW","23","Pipiens","current",1.11,0,0,"current_Pipiens"
"NW","23","Tarsalis","hx",2.29666666666667,0,0,"hx_Tarsalis"
"NW","23","Tarsalis","current",0.78,0,0,"current_Tarsalis"
"NW","24","Pipiens","hx",1.1525,0,0,"hx_Pipiens"
"NW","24","Tarsalis","hx",3.055,0,0,"hx_Tarsalis"
"NW","25","Pipiens","hx",1.188,0,0,"hx_Pipiens"
"NW","25","Tarsalis","hx",5.4,0,0,"hx_Tarsalis"
"NW","26","Pipiens","hx",3.088,0,0,"hx_Pipiens"
"NW","26","Tarsalis","hx",22.377,0,0,"hx_Tarsalis"
"NW","27","Pipiens","hx",5.845,0,0,"hx_Pipiens"
"NW","27","Tarsalis","hx",15.7,0,0,"hx_Tarsalis"
"NW","28","Pipiens","hx",6.034,0.00065,0.00889,"hx_Pipiens"
"NW","28","Tarsalis","hx",41.867,0,0,"hx_Tarsalis"
"NW","29","Pipiens","hx",7.288,0.00285,0.03062,"hx_Pipiens"
"NW","29","Tarsalis","hx",53.999,0.00065,0.04504,"hx_Tarsalis"
"NW","30","Pipiens","hx",9.52545454545455,0.000509090909090909,0.00396363636363636,"hx_Pipiens"
"NW","30","Tarsalis","hx",43.3454545454545,0.000890909090909091,0.0537636363636364,"hx_Tarsalis"
"NW","31","Pipiens","hx",8.943,0.00476,0.03266,"hx_Pipiens"
"NW","31","Tarsalis","hx",28.09,0.00284,0.0804,"hx_Tarsalis"
"NW","32","Pipiens","hx",13.5,0.00461,0.06515,"hx_Pipiens"
"NW","32","Tarsalis","hx",21.478,0.00697,0.12197,"hx_Tarsalis"
"NW","33","Pipiens","hx",9.067,0.00817,0.06382,"hx_Pipiens"
"NW","33","Tarsalis","hx",16.387,0.00297,0.0581,"hx_Tarsalis"
"NW","34","Pipiens","hx",7.4,0.00924,0.06012,"hx_Pipiens"
"NW","34","Tarsalis","hx",14.511,0.00412,0.06732,"hx_Tarsalis"
"NW","35","Pipiens","hx",6.656,0.00972,0.04279,"hx_Pipiens"
"NW","35","Tarsalis","hx",5.822,0.00266,0.03171,"hx_Tarsalis"
"NW","36","Pipiens","hx",3.76375,0.01115,0.0300875,"hx_Pipiens"
"NW","36","Tarsalis","hx",5.04375,0,0,"hx_Tarsalis"
"NW","37","Pipiens","hx",5.46142857142857,0.0048,0.0296142857142857,"hx_Pipiens"
"NW","37","Tarsalis","hx",1.44428571428571,NA,NA,"hx_Tarsalis"
"NE","23","Pipiens","hx",0.266666666666667,0,0,"hx_Pipiens"
"NE","23","Pipiens","current",0.7,0,0,"current_Pipiens"
"NE","23","Tarsalis","hx",3.03333333333333,0,0,"hx_Tarsalis"
"NE","23","Tarsalis","current",5.5,0,0,"current_Tarsalis"
"NE","24","Pipiens","hx",0.388888888888889,NA,NA,"hx_Pipiens"
"NE","24","Tarsalis","hx",4.64444444444444,0,0,"hx_Tarsalis"
"NE","25","Pipiens","hx",1.75,0,0,"hx_Pipiens"
"NE","25","Tarsalis","hx",12.98,0,0,"hx_Tarsalis"
"NE","26","Pipiens","hx",3.34,0,0,"hx_Pipiens"
"NE","26","Tarsalis","hx",31.5,0.00013,0.01009,"hx_Tarsalis"
"NE","27","Pipiens","hx",6.83,0,0,"hx_Pipiens"
"NE","27","Tarsalis","hx",55.28,0.00021,0.01012,"hx_Tarsalis"
"NE","28","Pipiens","hx",9.61,0.00082,0.00474,"hx_Pipiens"
"NE","28","Tarsalis","hx",73.39,0.00018,0.01978,"hx_Tarsalis"
"NE","29","Pipiens","hx",14.62,0.00131,0.02391,"hx_Pipiens"
"NE","29","Tarsalis","hx",107.65,0.00098,0.12865,"hx_Tarsalis"
"NE","30","Pipiens","hx",21.4363636363636,0.000554545454545455,0.0249545454545455,"hx_Pipiens"
"NE","30","Tarsalis","hx",97.9818181818182,0.0012,0.103672727272727,"hx_Tarsalis"
"NE","31","Pipiens","hx",24.91,0.00228,0.04706,"hx_Pipiens"
"NE","31","Tarsalis","hx",58.22,0.00227,0.13868,"hx_Tarsalis"
"NE","32","Pipiens","hx",36.72,0.00623,0.11209,"hx_Pipiens"
"NE","32","Tarsalis","hx",42.85,0.00282,0.09739,"hx_Tarsalis"
"NE","33","Pipiens","hx",30.05,0.00688,0.18214,"hx_Pipiens"
"NE","33","Tarsalis","hx",40.88,0.00777,0.24961,"hx_Tarsalis"
"NE","34","Pipiens","hx",30.81,0.00876,0.14013,"hx_Pipiens"
"NE","34","Tarsalis","hx",21.55,0.0049,0.11919,"hx_Tarsalis"
"NE","35","Pipiens","hx",20.06,0.00802,0.1474,"hx_Pipiens"
"NE","35","Tarsalis","hx",13.07,0.01054,0.12589,"hx_Tarsalis"
"NE","36","Pipiens","hx",27.0125,0.003,0.0603875,"hx_Pipiens"
"NE","36","Tarsalis","hx",7.8625,0.001775,0.0258375,"hx_Tarsalis"
"NE","37","Pipiens","hx",28.6571428571429,0.00398571428571429,0.114528571428571,"hx_Pipiens"
"NE","37","Tarsalis","hx",2.28571428571429,0,0,"hx_Tarsalis"
"SE","23","Pipiens","hx",0.38,0,0,"hx_Pipiens"
"SE","23","Pipiens","current",0.13,0,0,"current_Pipiens"
"SE","23","Tarsalis","hx",4,0,0,"hx_Tarsalis"
"SE","23","Tarsalis","current",0.87,0,0,"current_Tarsalis"
"SE","24","Pipiens","hx",0.46,NA,NA,"hx_Pipiens"
"SE","24","Tarsalis","hx",4.63555555555556,0,0,"hx_Tarsalis"
"SE","25","Pipiens","hx",0.849,0,0,"hx_Pipiens"
"SE","25","Tarsalis","hx",19.3,0,0,"hx_Tarsalis"
"SE","26","Pipiens","hx",2.539,0.00031,0.00108,"hx_Pipiens"
"SE","26","Tarsalis","hx",47.226,3e-05,0.00653,"hx_Tarsalis"
"SE","27","Pipiens","hx",2.78,0.00049,0.00281,"hx_Pipiens"
"SE","27","Tarsalis","hx",72.994,0.00025,0.03482,"hx_Tarsalis"
"SE","28","Pipiens","hx",6.832,0.00043,0.00713,"hx_Pipiens"
"SE","28","Tarsalis","hx",128.119,0.00065,0.13513,"hx_Tarsalis"
"SE","29","Pipiens","hx",5.806,0.0026,0.01911,"hx_Pipiens"
"SE","29","Tarsalis","hx",105.899,0.00102,0.12869,"hx_Tarsalis"
"SE","30","Pipiens","hx",9.44181818181818,0.00629090909090909,0.0430818181818182,"hx_Pipiens"
"SE","30","Tarsalis","hx",82.6654545454546,0.0024,0.151045454545455,"hx_Tarsalis"
"SE","31","Pipiens","hx",11.226,0.01043,0.11508,"hx_Pipiens"
"SE","31","Tarsalis","hx",61.926,0.00347,0.23659,"hx_Tarsalis"
"SE","32","Pipiens","hx",11.36,0.0092,0.09581,"hx_Pipiens"
"SE","32","Tarsalis","hx",33.261,0.00336,0.11501,"hx_Tarsalis"
"SE","33","Pipiens","hx",11.713,0.01117,0.09134,"hx_Pipiens"
