"","csu_id","trap_id","year","week","trap_date","county","method","genus","spp","sex","no_gravid","no_deplete","total","test_code","seq","cq"
"1","CSU13750","FC-057",2019,33,"2019-08-14","LC","L","Cx.","Tarsalis",FALSE,0,39,39,0,0,55.55
"2","CSU6030","FC-031",2014,30,"2014-07-22","Larimer","Light","Cx","tarsalis",FALSE,0,28,28,0,0,NA
"3","CSU10656","LV-020",2017,28,"2017-07-12","LC","L","Cx.","tarsalis",FALSE,0,50,50,0,0,55.55
"4","CSU6034",NA,2014,30,NA,NA,NA,"Cx","tarsalis",NA,0,0,0,1,1,NA
"5","CSU17434","FC-066",2022,26,"2022-06-27","LC","L","Cx.","Tarsalis",FALSE,0,10,10,0,0,55.55
"6","CSU15280","FC-041",2020,35,"2020-08-26","LC","L","Cx.","TAR",FALSE,0,11,11,0,0,55.55
"7","CSU17767","FC-041",2022,28,"2022-07-13","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"8","CSU15934","FC-027",2021,28,"2021-07-12","LC","L","Cx.","TAR",FALSE,0,50,50,0,0,55.55
"9","CSU14220","LV-020",2020,25,"2020-06-17","LC","L","Cx.","PIP",FALSE,0,5,5,0,0,55.55
"10","CSU16756","LC-054",2021,32,"2021-08-10","LC","L","Cx.","TAR",FALSE,0,32,32,0,0,55.55
