"zone","year","week","spp","pir_old","pir_lci_old","pir_uci_old","pir_new","pir_lci_new","pir_uci_new"
"BE",2017,27,"Pipiens",0,0,0.6576,0.2363,0.0156,0.7102
"NW",2025,26,"Pipiens",0,0,0.2991,0.0658,0.0043,0.2679
"SW",2023,36,"Pipiens",0,0,0.1103,0.0247,0.0018,0.1075
"SW",2023,35,"Pipiens",0,0,0.0918,0.0194,0.0016,0.0831
"SW",2023,36,"All",0,0,0.082,0.0188,0.0012,0.0838
"SW",2022,28,"Pipiens",0,0,0.0918,0.0181,0.0015,0.0779
"LV",2021,36,"All",0.1371,0.0084,0.6578,0.1232,0.0073,0.5543
"NW",2025,26,"All",0.0165,0.001,0.0767,0.03,0.006,0.091
"SW",2023,35,"All",0,0,0.05,0.0121,8e-04,0.0544
"SW",2017,31,"Pipiens",0,0,0.0487,0.0106,8e-04,0.0476
"FC",2025,26,"Pipiens",0,0,0.0414,0.01,6e-04,0.047
"SW",2025,37,"Pipiens",0.0733,0.0046,0.7226,0.0638,0.0036,0.4241
"NW",2022,35,"Tarsalis",0.0098,7e-04,0.0457,0.0191,0.0043,0.0571
"SE",2016,35,"Tarsalis",0.0092,6e-04,0.0437,0.0181,0.0035,0.0569
"NE",2023,34,"Pipiens",0.0082,5e-04,0.0407,0.0162,0.0033,0.051
"NW",2023,34,"Tarsalis",0.0079,5e-04,0.0392,0.0155,0.003,0.0499
"BE",2025,30,"Pipiens",0.0855,0.0049,0.4065,0.0793,0.0045,0.3753
"NW",2023,31,"Tarsalis",0.0161,0.0042,0.0477,0.0216,0.0073,0.0552
"FC",2016,35,"Tarsalis",0.0058,3e-04,0.0279,0.0113,0.0021,0.036
"SW",2025,35,"Pipiens",0.0417,0.0024,0.2509,0.0365,0.002,0.2069
"NW",2022,35,"All",0.0049,3e-04,0.0234,0.0096,0.0019,0.0302
"SE",2016,35,"All",0.0192,0.0063,0.047,0.0238,0.0091,0.0528
"NW",2025,37,"Pipiens",0.0396,0.0023,0.3063,0.0354,0.002,0.2323
"SW",2017,31,"All",0.0044,3e-04,0.021,0.0086,0.0017,0.0272
"BE",2017,27,"All",0,0,0.016,0.0039,2e-04,0.0183
"NE",2023,34,"All",0.0122,0.0035,0.0322,0.0161,0.0057,0.037
"SW",2025,37,"All",0.0297,0.0017,0.1553,0.0261,0.0015,0.1348
"NW",2023,31,"All",0.0202,0.0085,0.0435,0.0236,0.0108,0.0476
"SE",2015,35,"Pipiens",0.0185,0.0074,0.0419,0.0218,0.0095,0.0462
"NW",2023,34,"All",0.0097,0.0026,0.0269,0.0128,0.0043,0.031
"SW",2021,36,"All",0.0248,0.0014,0.1559,0.022,0.0012,0.1309
"SE",2015,35,"All",0.0208,0.0096,0.0417,0.0235,0.0115,0.045
"LV",2016,32,"Pipiens",0.0568,0.0037,0.3164,0.0544,0.0034,0.2818
"FC",2023,36,"Pipiens",0.0047,9e-04,0.0154,0.007,0.0019,0.0186
