"zone","year","week","spp","vi_old","abund","vi_new"
"FC",2015,32,"All",0.17,45.2791,0.16
"NW",2015,33,"All",0.47,39.1111,0.46
"SE",2015,33,"All",0.47,32.6667,0.46
"NE",2015,34,"All",0.33,28.1,0.32
"NE",2015,34,"Pipiens",0.25,15.4,0.24
"NW",2015,34,"All",0.13,8.6667,0.12
"FC",2015,35,"All",0.43,20.907,0.45
"FC",2015,35,"Pipiens",0.28,11.7907,0.29
"NW",2015,35,"All",0.79,21.5556,0.77
"NW",2015,35,"Pipiens",0.52,11.1111,0.51
"SE",2015,35,"All",0.6,28.8,0.68
"SE",2015,35,"Pipiens",0.33,18,0.39
"SE",2015,35,"Tarsalis",0.32,10.8,0.31
"SW",2015,35,"All",0.11,8.7778,0.1
"FC",2016,31,"All",0.42,51.7907,0.41
"FC",2016,32,"All",0.48,51.907,0.47
"LV",2016,32,"Pipiens",0.22,3.8,0.21
"SW",2016,32,"All",0.31,23.2222,0.3
"FC",2016,35,"All",0.14,11.3256,0.15
"FC",2016,35,"Tarsalis",0.02,4.093,0.05
"SE",2016,35,"All",0.22,11.4667,0.27
"SE",2016,35,"Tarsalis",0.07,7.2,0.13
"NW",2016,37,"All",0.1,21.5556,0.09
"BE",2017,27,"All",0,47.6,0.19
"BE",2017,27,"Pipiens",0,0.8,0.19
"FC",2017,31,"All",0.21,36.814,0.23
"FC",2017,31,"Pipiens",0.03,4.1163,0.04
"SW",2017,31,"All",0.07,17,0.15
"SW",2017,31,"Pipiens",0,1.2222,0.01
"NE",2017,32,"Pipiens",0.08,12.7,0.07
"NE",2017,33,"Pipiens",0.08,10.4,0.07
"BE",2017,34,"All",0.85,24.6,0.84
"FC",2017,36,"All",0.02,4.2558,0.01
"SW",2018,36,"All",0.11,3.1111,0.1
"BE",2020,31,"All",0.21,8.6,0.2
"BE",2020,33,"All",0.23,10.6,0.22
"LV",2020,36,"All",0.18,9,0.17
"SW",2021,31,"Tarsalis",0.12,12.1111,0.11
"NE",2021,33,"Tarsalis",0.85,25.7,0.84
"FC",2021,34,"All",0.29,24.4186,0.28
"SE",2021,35,"Pipiens",0.26,17.8,0.25
"SW",2021,35,"All",0.17,5,0.16
"SW",2021,35,"Pipiens",0.12,2.7778,0.11
"LV",2021,36,"All",0.21,1.5,0.18
"SW",2021,36,"All",0.06,2.4444,0.05
"SW",2021,36,"Pipiens",0.05,1.6667,0.04
"FC",2022,28,"All",0.07,97.8837,0.09
"FC",2022,28,"Pipiens",0,8.9767,0.01
"SE",2022,28,"All",0.2,106.1333,0.19
"SW",2022,28,"All",0,55.6667,0.11
"SW",2022,28,"Pipiens",0,1.2222,0.02
"LV",2022,33,"All",0.37,40.5,0.36
"NW",2022,33,"All",0.1,25.6667,0.09
"FC",2022,35,"All",0.39,34.1395,0.41
"FC",2022,35,"Tarsalis",0.19,13.2326,0.21
"LV",2022,35,"All",0.59,44.6667,0.58
"NW",2022,35,"All",0.08,16.6667,0.16
"NW",2022,35,"Tarsalis",0.1,10.4444,0.2
"LV",2023,30,"All",8.81,565,8.76
"SE",2023,30,"Pipiens",0.17,5.3333,0.16
"FC",2023,31,"All",0.74,70.5,0.77
"FC",2023,31,"Tarsalis",0.5,62.5952,0.53
"NW",2023,31,"All",0.6,29.8889,0.71
"NW",2023,31,"Tarsalis",0.42,26.2222,0.57
"FC",2023,32,"All",0.42,31.7381,0.41
"FC",2023,32,"Tarsalis",0.38,23.8571,0.37
"NW",2023,32,"All",0.48,27,0.47
"SE",2023,32,"All",0.42,37.4,0.41
"LV",2023,33,"Pipiens",0.18,19.3333,0.17
"SE",2023,33,"All",0.07,10.1333,0.06
"FC",2023,34,"All",0.36,32.0465,0.4
"FC",2023,34,"Pipiens",0.16,7.5581,0.18
"FC",2023,34,"Tarsalis",0.14,24.4884,0.17
"NE",2023,34,"All",0.24,19.8,0.32
"NE",2023,34,"Pipiens",0.05,6.7,0.11
"NW",2023,34,"All",0.2,20.2222,0.26
"NW",2023,34,"Tarsalis",0.11,14.5556,0.23
"SW",2023,34,"Pipiens",0.25,8.8889,0.24
"FC",2023,35,"All",0.14,10.8372,0.15
"FC",2023,35,"Pipiens",0.08,6.2093,0.1
"NE",2023,35,"Tarsalis",0.12,6.7,0.11
"SE",2023,35,"All",0.21,6,0.2
"SE",2023,35,"Pipiens",0.12,2.8,0.11
"SW",2023,35,"All",0,6,0.07
"SW",2023,35,"Pipiens",0,1.6667,0.03
"FC",2023,36,"All",0.04,9.8718,0.06
"FC",2023,36,"Pipiens",0.04,8.0513,0.06
"SW",2023,36,"All",0,5.2222,0.1
"SW",2023,36,"Pipiens",0,3.6667,0.09
"BE",2024,34,"All",0.23,35.9,0.22
"SW",2024,34,"All",0.07,5.6667,0.06
"NW",2024,36,"All",0.08,3.7778,0.07
"SE",2024,36,"Pipiens",0.1,5.4,0.09
"NW",2024,37,"All",0.06,4.2222,0.05
"FC",2025,26,"All",0.05,18.9767,0.07
"FC",2025,26,"Pipiens",0,1.5814,0.02
"NW",2025,26,"All",0.1,6.2222,0.19
"NW",2025,26,"Pipiens",0,0.7778,0.05
"FC",2025,28,"All",0.35,68.3095,0.34
"LV",2025,28,"All",0.55,97.5,0.54
"SE",2025,28,"Tarsalis",0.7,99.4,0.69
"BE",2025,29,"Pipiens",0.11,3.7,0.1
"SE",2025,29,"Pipiens",0.09,7.2,0.08
"BE",2025,30,"Pipiens",0.12,1.4,0.11
"NW",2025,30,"Pipiens",0.08,4.5,0.07
"BE",2025,31,"All",0.45,43.3,0.44
"LV",2025,31,"All",0.58,40.8333,0.57
"BC",2025,32,"Tarsalis",0.43,21.9565,0.42
"BE",2025,32,"All",0.58,78,0.57
"BC",2025,33,"Tarsalis",0.15,15.2174,0.14
"FC",2025,33,"All",0.42,23.5581,0.41
"NW",2025,33,"All",0.54,21.4444,0.53
"SE",2025,33,"All",0.49,26.6,0.48
"SW",2025,33,"All",0.68,29.7778,0.67
"BE",2025,34,"All",0.76,57.4,0.75
"LV",2025,34,"All",1.13,42.8333,1.12
"NE",2025,34,"All",0.57,23,0.56
"SW",2025,35,"Pipiens",0.07,1.6667,0.06
"SE",2025,36,"All",0.36,17.8,0.35
"SE",2025,36,"Pipiens",0.3,5.6667,0.29
"FC",2025,37,"All",0.11,7.8372,0.1
"NW",2025,37,"All",0.07,3,0.06
"NW",2025,37,"Pipiens",0.03,0.6667,0.02
"SW",2025,37,"All",0.09,3.1111,0.08
