week,zone,spp,abund_old,n_old,abund_new,n_new,abund_delta
26,LV,Tarsalis,377.23333333333335,30,126.16666666666666,30,-251.0666666666667
27,LV,Tarsalis,296.96666666666664,30,428.2,30,131.23333333333335
31,LV,Tarsalis,78.03333333333333,30,138.0666666666667,30,60.03333333333336
30,LV,Tarsalis,235.86666666666665,30,181.41379310344828,29,-54.45287356321836
28,NE,Tarsalis,107.61428571428573,70,61.27142857142856,70,-46.34285714285717
29,LV,Tarsalis,252.3793103448276,29,289.9,30,37.52068965517239
29,NE,Tarsalis,76.8840579710145,69,114.14492753623189,69,37.26086956521739
26,NE,Tarsalis,55.15714285714287,70,31.857142857142865,70,-23.300000000000008
25,NE,Tarsalis,28.753623188405786,69,10.10144927536232,69,-18.652173913043466
31,NE,Pipiens,46.588235294117645,68,29.171428571428567,70,-17.416806722689078
25,LV,Tarsalis,79.16666666666666,30,61.833333333333336,30,-17.33333333333332
33,NE,Pipiens,43.942857142857136,70,28.057142857142853,70,-15.885714285714283
28,LV,Tarsalis,212.3,30,225.36666666666667,30,13.066666666666663
30,SE,Tarsalis,70.60674157303373,89,58.73033707865167,89,-11.876404494382058
31,NE,Tarsalis,24.338235294117645,68,33.62857142857142,70,9.290336134453774
32,LV,Tarsalis,69.09999999999998,30,77.13333333333334,30,8.03333333333336
33,LV,Tarsalis,65.5,30,57.96666666666666,30,-7.5333333333333385
28,NW,Tarsalis,52.962264150943405,53,45.62264150943397,53,-7.339622641509436
34,LV,Tarsalis,43.233333333333334,30,50.23333333333333,30,6.999999999999993
29,NE,Pipiens,36.84057971014493,69,30.536231884057973,69,-6.304347826086957
28,NE,Pipiens,22.085714285714282,70,16.771428571428572,70,-5.31428571428571
29,NW,Tarsalis,60.79629629629629,54,66,54,5.2037037037037095
27,NW,Tarsalis,13.418181818181816,55,18.618181818181814,55,5.1999999999999975
32,NE,Pipiens,40.31428571428573,70,45.25,68,4.935714285714269
27,NE,Pipiens,17.314285714285713,70,12.514285714285716,70,-4.799999999999997
33,SE,Tarsalis,20.822222222222223,90,16.077777777777776,90,-4.744444444444447
32,NE,Tarsalis,27.157142857142865,70,23.205882352941174,68,-3.9512605042016915
26,NW,Tarsalis,30.481481481481488,54,26.55555555555556,54,-3.9259259259259274
26,NE,Pipiens,9.971428571428572,70,6.171428571428571,70,-3.8000000000000007
33,NE,Tarsalis,18.84285714285714,70,22.200000000000006,70,3.3571428571428648
26,LV,Pipiens,7.2,30,3.933333333333333,30,-3.266666666666667
24,NE,Tarsalis,6.357142857142857,70,3.4107142857142865,56,-2.9464285714285703
34,NE,Pipiens,47.77142857142856,70,45.31428571428573,70,-2.457142857142827
30,NE,Pipiens,39,70,36.714285714285715,70,-2.2857142857142847
25,NE,Pipiens,4.855072463768116,69,2.6086956521739126,69,-2.2463768115942035
23,LV,Tarsalis,15,30,12.9,30,-2.0999999999999996
34,SE,Pipiens,22.772727272727277,88,20.73863636363636,88,-2.034090909090917
30,SE,Pipiens,23,89,21.10112359550562,89,-1.8988764044943807
30,NW,Tarsalis,28.70370370370371,54,30.259259259259256,54,1.5555555555555465
