date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/16/2025,Fort Collins,Poudre River Trail,NE,Aedes dorsalis,4,CDC Light Trap,FC-067
6/16/2025,Fort Collins,Poudre River Trail,NE,Aedes increpitus,20,CDC Light Trap,FC-067
6/16/2025,Fort Collins,Poudre River Trail,NE,Anopheles freeborni,2,CDC Light Trap,FC-067
6/16/2025,Fort Collins,Poudre River Trail,NE,Culex pipiens,4,CDC Light Trap,FC-067
6/16/2025,Fort Collins,Poudre River Trail,NE,Aedes vexans,63,CDC Light Trap,FC-067
6/16/2025,Fort Collins,Poudre River Trail,NE,Culex tarsalis,31,CDC Light Trap,FC-067
6/16/2025,Fort Collins,Prospect Ponds,NE,Aedes increpitus,224,CDC Light Trap,FC-066
6/16/2025,Fort Collins,Hemlock,NW,Aedes dorsalis,2,CDC Light Trap,FC-036 
6/16/2025,Fort Collins,Hemlock,NW,Culex tarsalis,19,CDC Light Trap,FC-036 
6/16/2025,Fort Collins,Hemlock,NW,Coquillettidia perturbans,1,CDC Light Trap,FC-036 
6/16/2025,Fort Collins,Hemlock,NW,Aedes increpitus,8,CDC Light Trap,FC-036 
6/16/2025,Fort Collins,Hemlock,NW,Aedes cinereus,1,CDC Light Trap,FC-036 
6/16/2025,Fort Collins,Hemlock,NW,Aedes vexans,50,CDC Light Trap,FC-036 
6/16/2025,Fort Collins,Edora Park,NE,Aedes dorsalis,1,CDC Light Trap,FC-019
6/16/2025,Fort Collins,Edora Park,NE,Culex tarsalis,16,CDC Light Trap,FC-019
6/16/2025,Fort Collins,PVH Gravid,NE,Culex pipiens,1,Gravid Trap,FC-091gr
6/16/2025,Fort Collins,Edora Park,NE,Aedes vexans,4,CDC Light Trap,FC-019
6/16/2025,Fort Collins,Edora Park,NE,Aedes increpitus,26,CDC Light Trap,FC-019
6/16/2025,Fort Collins,Redwood,NE,Culex pipiens,1,CDC Light Trap,FC-040
6/16/2025,Fort Collins,Redwood,NE,Aedes vexans,29,CDC Light Trap,FC-040
6/16/2025,Fort Collins,Redwood,NE,Aedes dorsalis,1,CDC Light Trap,FC-040
6/16/2025,Fort Collins,Redwood,NE,Culex tarsalis,8,CDC Light Trap,FC-040
6/16/2025,Fort Collins,Redwood,NE,Coquillettidia perturbans,1,CDC Light Trap,FC-040
6/16/2025,Fort Collins,Linden Lake Rd,NE,Aedes increpitus,12,CDC Light Trap,FC-069
6/16/2025,Fort Collins,Redwood Gravid,NE,Culex pipiens,9,Gravid Trap,FC-040gr
6/16/2025,Fort Collins,N. Linden,NE,Aedes increpitus,9,CDC Light Trap,FC-006
6/16/2025,Fort Collins,N. Linden,NE,Aedes nigromaculis,1,CDC Light Trap,FC-006
6/16/2025,Fort Collins,N. Linden,NE,Culiseta inornata,1,CDC Light Trap,FC-006
6/16/2025,Fort Collins,N. Linden,NE,Culex tarsalis,6,CDC Light Trap,FC-006
6/16/2025,Fort Collins,N. Linden,NE,Anopheles freeborni,1,CDC Light Trap,FC-006
6/16/2025,Fort Collins,N. Linden,NE,Aedes vexans,25,CDC Light Trap,FC-006
6/16/2025,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,7,Gravid Trap,FC-092gr
6/16/2025,Fort Collins,Lochside Lane,NE,Culiseta inornata,1,CDC Light Trap,FC-038
6/16/2025,Fort Collins,Lochside Lane,NE,Aedes melanimon,36,CDC Light Trap,FC-038
6/16/2025,Fort Collins,Lochside Lane,NE,Aedes vexans,28,CDC Light Trap,FC-038
6/16/2025,Fort Collins,Lochside Lane,NE,Culex tarsalis,22,CDC Light Trap,FC-038
6/16/2025,Fort Collins,Lochside Lane,NE,Culex pipiens,1,CDC Light Trap,FC-038
6/16/2025,Fort Collins,Lochside Lane,NE,Aedes increpitus,4,CDC Light Trap,FC-038
6/16/2025,Fort Collins,Country Club,NE,Aedes melanimon,1,CDC Light Trap,FC-034
6/16/2025,Fort Collins,Country Club,NE,Aedes increpitus,5,CDC Light Trap,FC-034
6/16/2025,Fort Collins,Country Club,NE,Aedes dorsalis,1,CDC Light Trap,FC-034
6/16/2025,Fort Collins,Country Club,NE,Anopheles freeborni,5,CDC Light Trap,FC-034
6/16/2025,Fort Collins,Country Club,NE,Aedes vexans,30,CDC Light Trap,FC-034
6/16/2025,Fort Collins,Country Club,NE,Culex tarsalis,26,CDC Light Trap,FC-034
6/16/2025,Fort Collins,FC Visitor Center,NE,Aedes vexans,13,CDC Light Trap,FC-014
6/16/2025,Fort Collins,FC Visitor Center,NE,Aedes dorsalis,103,CDC Light Trap,FC-014
