"trap_id","method","zone","zone2","active","start","lat","long"
"BC-01","L","BC","BC",0,"2022","NA","NA"
"BC-02","L","BC","BC",0,"2022","39.9910086","-105.18326"
"BC-03","L","BC","BC",0,"2022","40.0528558","-105.26606"
"BC-04","L","BC","BC",0,"2021","40.061639","-105.19396"
"BC-07","L","BC","BC",0,"2024","NA","NA"
"BC-08","L","BC","BC",0,"2023","40.130625","-105.21674"
"BC-09","L","BC","BC",0,"2021","40.013015","-105.27145"
"BC-10","L","BC","BC",0,"2024","NA","NA"
"BC-11","L","BC","BC",0,"2022","40.11","-105.13028"
"BC-12","L","BC","BC",0,"2022","NA","NA"
"BC-13","L","BC","BC",0,"2022","39.9928123","-105.22003"
"BC-14","L","BC","BC",0,"2024","39.9875","-105.2209"
"BC-15","L","BC","BC",0,"2021","40.013015","-105.27145"
"BC-16","L","BC","BC",0,"2022","NA","NA"
"BC-17","L","BC","BC",0,"2021","40.101806","-105.15603"
"BC-18","L","BC","BC",0,"2021","40.013015","-105.27145"
"BC-19","L","BC","BC",0,"2021","NA","NA"
"BC-22","L","BC","BC",0,"2023","39.959444","-105.23229"
"BC-25","L","BC","BC",0,,"NA","NA"
"BC-26","L","BC","BC",0,"2023","40.0391","-105.1868"
"BC-27","L","BC","BC",0,"2023","NA","NA"
"BC-28","L","BC","BC",0,"2024","40.0075","-105.216"
"LC-055","L","BE","BE",0,"2019","40.288886","-104.99146"
"LV-074","L","LV","LV",0,"2016","40.404013","-105.071"
"LV-074GR","G","LV","LV",0,"2016","40.403596","-105.07158"
"LV-078","L","LV","LV",0,"2016","40.416234","-105.04508"
"LV-079GR","G","LV","LV",0,"2016","40.416617","-105.04517"
"LV-087","L","LV","LV",0,"2014","40.367049","-105.07371"
"LV-099","L","LV","LV",0,,"40.421062","-105.10684"
"LV-100","L","LV","LV",0,,"40.404163","-105.08859"
"LV-101","L","LV","LV",0,,"40.396389","-105.07391"
"LV-102","L","LV","LV",0,,"40.434477","-105.1045"
"LV-105","L","LV","LV",0,,"40.436464","-105.08396"
"LV-112","L","LV","LV",0,,"40.387276","-105.05445"
"LV-113","L","LV","LV",0,,"40.389543","-105.15629"
"LV-114","L","LV","LV",0,"2014","40.37876","-105.11991"
"LV-116","L","LV","LV",0,,"40.438926","-105.06845"
"LV-117","L","LV","LV",0,,"40.412278","-104.98942"
"LV-118","L","LV","LV",0,,"40.40088","-105.13698"
"LV-120","L","LV","LV",0,"2014","40.363996","-105.103"
"LV-121","L","LV","LV",0,,"40.42641","-105.12264"
"LV-122","L","LV","LV",0,,"40.445385","-105.09135"
"LV-123","L","LV","LV",0,"2014","40.396389","-105.07391"
"LV-124","L","LV","LV",0,,"40.38387","-105.07996"
"LV-125","L","LV","LV",0,,"40.400121","-105.10212"
"LV-FLOAT","L","LV","LV",0,,"40.396389","-105.07391"
"LC-061","L","BE","BE",1,"2024","40.3368194","-105.08659"
"LC-058","L","BE","BE",1,"2024","40.3082833","-105.09688"
"LC-062","L","BE","BE",1,"2024","40.3439276","-105.11628"
"LC-059","L","BE","BE",1,"2024","40.2931157","-105.08463"
"LC-060","L","BE","BE",1,"2024","40.3031963","-105.06938"
"LC-001","L","BE","BE",1,"2017","40.302587","-105.08406"
"LC-049","L","BE","BE",1,"2017","40.312995","-105.07873"
"LC-053","L","BE","BE",1,"2017","40.320553","-105.09457"
"LC-054","L","BE","BE",1,"2017","40.343955","-105.10277"
"WC-055","L","BE","BE",1,"2017","40.2891835","-104.99154"
"LV-020","L","LV","LV",1,"2012","40.373964","-105.11349"
"LV-069","L","LV","LV",1,"2012","40.428924","-105.05822"
"LV-089","L","LV","LV",1,"2012","40.400251","-105.0424"
"LV-095","L","LV","LV",1,"2012","40.444118","-105.02217"
"LV-104","L","LV","LV",1,"2012","40.396854","-105.02092"
"LV-110","L","LV","LV",1,"2012","40.400764","-105.12268"
"FC-006","L","NE","FC",1,"2012","40.592328","-105.0663"
"FC-014","L","NE","FC",1,"2012","40.56359","-105.00656"
"FC-019","L","NE","FC",1,"2012","40.565586","-105.05203"
"FC-034","L","NE","FC",1,"2012","40.62556","-105.05009"
"FC-038","L","NE","FC",1,"2012","40.59911","-105.00623"
"FC-040","L","NE","FC",1,"2012","40.60326","-105.06554"
"FC-040GR","G","NE","FC",1,"2012","40.60326","-105.06553"
"FC-066","L","NE","FC",1,"2012","40.55873","-105.02318"
"FC-066GR","G","NE","FC",1,"2012","40.55873","-105.02318"
"FC-067","L","NE","FC",1,"2012","40.57881","-105.05592"
"FC-069","L","NE","FC",1,"2012","40.61438","-105.0527"
"FC-072","L","NE","FC",1,"2012","40.56953","-105.07117"
"FC-091GR","G","NE","FC",1,"2012","40.57052","-105.05457"
"FC-092GR","G","NE","FC",1,"2012","40.58407","-105.06497"
"FC-011","L","NW","FC",1,"2012","40.56948","-105.13603"
"FC-015","L","NW","FC",1,"2012","40.5598","-105.12409"
"FC-036","L","NW","FC",1,"2012","40.600766","-105.07984"
"FC-041","L","NW","FC",1,"2012","40.58794","-105.10486"
"FC-049","L","NW","FC",1,"2012","40.57324","-105.13949"
"FC-052","L","NW","FC",1,"2012","40.56163","-105.08703"
"FC-061","L","NW","FC",1,"2012","40.5688","-105.09165"
"FC-063","L","NW","FC",1,"2012","40.56568","-105.10485"
"FC-063GR","G","NW","FC",1,"2012","40.56568","-105.10505"
"FC-073","L","NW","FC",1,"2012","40.58605","-105.08889"
"FC-090GR","G","NW","FC",1,"2012","40.58196","-105.11136"
"FC-004","L","SE","FC",1,"2012","40.53486","-105.03733"
"FC-023","L","SE","FC",1,"2012","40.54466","-105.0641"
"FC-027","L","SE","FC",1,"2012","40.54651","-105.03359"
